time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:Copy.count,Jvm:Copy.time,Jvm:MarkSweepCompact.count,Jvm:MarkSweepCompact.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2013-09-28T14:15:09Z,109,0,0,0,0,0,3156653,600,10816,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,1,5,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,2,3,2,2,2,0,0,3,3,0,0,0,0,0,0,38,1,0,0,2048,1,954,2,0,0,0,0,0,0,0,0,45812624,-1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-28T14:16:09Z,5853,0,0,0,0,0,6384525,4320,3231056,1888,0,0,0,0,0,113066,0,0,0,0,0,0,0,639,24,0,554,230,98,27967,0,0,0,0,0, ,0,0,0,0,0,0,38012,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,27973,31285,27972,2,27973,0,0,3,27972,0,0,0,0,0,0,0,0,0,0,4096,2,5086215,27973,0,0,0,0,22,2858,1,757,391722832,-1,0,0,0,0,0,0,112482,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,25885,0,1529,0,2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0
2013-09-28T14:17:09Z,13797,0,0,0,0,0,11049661,5040,7888248,1888,0,0,0,0,0,157082,0,0,0,0,0,0,0,1535,36,0,1134,383,398,38672,0,0,0,0,0, ,0,0,0,0,0,0,63032,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,38668,42034,38668,2,38668,0,0,3,38669,0,0,0,0,0,0,38,1,0,0,2048,1,7485074,38669,0,0,0,0,14,375,0,0,383920960,-1,0,0,0,0,0,0,156192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31468,0,5688,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,0
2013-09-28T14:18:09Z,19077,0,0,0,0,0,13450965,5040,10284384,1776,0,0,0,0,0,91122,0,0,0,0,0,0,0,2094,40,0,1672,597,465,22632,0,0,0,0,0, ,0,0,0,0,0,0,67647,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,22632,25836,22633,0,22632,0,0,3,22633,0,0,0,0,0,0,0,0,0,0,0,0,3995861,22632,0,0,0,0,57,1146,0,0,518143864,-1,0,0,0,0,0,0,90563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22365,0,232,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
2013-09-28T14:19:09Z,2551,0,0,0,0,0,16863215,6480,13713160,1776,0,0,0,0,0,115159,0,0,0,0,0,0,0,2761,48,0,2258,848,549,28638,0,0,0,0,0, ,0,0,0,0,0,0,80754,0,0,0,8590755234,2,8589934995,1,841,639,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,28575,32182,28575,2,28575,0,0,3,28576,0,0,0,0,0,0,38,1,0,0,2048,1,5930777,28575,0,0,0,0,35,917,0,0,683553072,-1,0,0,0,0,0,0,114572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26708,0,1721,0,1866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0
2013-09-28T14:20:09Z,6951,0,0,0,0,0,19356167,6480,16201712,1776,0,0,0,0,0,83977,0,0,0,0,0,0,0,3239,54,0,2694,1035,603,20858,0,0,0,0,0, ,0,0,0,0,0,0,59801,0,0,0,8590755234,2,8589934995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,20858,23281,20858,0,20858,0,0,3,20858,0,0,0,0,0,0,0,0,0,0,0,0,3983910,20858,0,0,0,0,48,645,0,0,545114144,-1,0,0,0,0,0,0,83499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19781,0,1010,0,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0
2013-09-28T14:21:09Z,14015,0,0,0,0,0,22853599,7200,19691968,1888,0,0,0,0,0,135487,0,0,0,0,0,0,0,4000,64,0,3334,1274,747,33604,0,0,0,0,0, ,0,0,0,0,0,0,94458,0,0,0,8590755234,2,8589934995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,33602,37322,33601,2,33602,0,0,3,33602,0,0,0,0,0,0,38,1,0,0,2048,1,5932805,33603,0,0,0,0,22,623,0,0,568504528,-1,0,0,0,0,0,0,134729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30769,0,2516,0,2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0
2013-09-28T14:22:09Z,21055,0,0,0,0,0,26491311,7200,23322752,1776,0,0,0,0,0,137618,0,0,0,0,0,0,0,4763,74,0,3954,1517,885,34086,0,0,0,0,0, ,0,0,0,0,0,0,96699,0,0,0,8590755234,2,8589934995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,34086,37660,34087,0,34086,0,0,3,34087,0,0,0,0,0,0,0,0,0,0,0,0,6227541,34086,0,0,0,0,20,808,0,0,599218160,-1,0,0,0,0,0,0,136855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31196,0,2379,0,2890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0
2013-09-28T14:23:09Z,7609,0,0,0,0,0,30688617,8080,27533392,1888,0,0,0,0,0,161242,0,0,0,0,0,0,0,5705,86,0,4859,1912,962,40059,0,0,0,0,0, ,0,0,0,0,0,0,119046,0,0,0,17180882121,3,17179874332,1,866,785,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,40020,44417,40019,2,40020,0,0,3,40020,0,0,0,0,0,0,38,1,0,0,2048,1,7697714,40020,0,0,0,0,10,456,0,0,735570848,-1,0,0,0,0,0,0,160350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39142,0,686,0,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0
2013-09-28T14:24:09Z,15137,0,0,0,0,0,34651265,8800,31488512,1888,0,0,0,0,0,150394,0,0,0,0,0,0,0,6514,98,0,5370,2083,1207,37219,0,0,0,0,0, ,0,0,0,0,0,0,130090,0,0,0,17180882121,3,17179874332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380377709217,3145728,0,0,0,0,37217,40264,37217,2,37217,0,0,3,37218,0,0,0,0,0,0,38,1,0,0,2048,1,6849464,37218,0,0,0,0,16,618,0,0,716851952,-1,0,0,0,0,0,0,149588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30387,0,6114,0,6830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,0
