time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:Copy.count,Jvm:Copy.time,Jvm:MarkSweepCompact.count,Jvm:MarkSweepCompact.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2013-10-18T06:21:18Z,4469,0,0,0,0,0,3170373,4560,20176,0,0,0,0,0,0,55,4,0,0,0,0,0,4,4,3,0,4,2,5,90,44,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,171804842204,44,171804839856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1382077277946,3145728,0,0,0,55,0,0,0,17,0,0,0,3,0,0,0,55,0,79872,39,0,0,0,8,6331766,762,0,0,0,0,0,0,5,12,0,0,10472672,-1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-18T06:22:15Z,4469,0,0,0,0,0,3174789,4920,24592,0,0,0,0,0,0,72,5,0,0,0,0,0,9,5,4,0,4,2,7,100,45,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,171804860528,45,171804858065,1,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1382077335093,3145728,0,0,0,58,1,1,1,19,1,0,0,3,2,0,0,58,0,92160,41,2585,1,0,8,6439286,776,0,0,0,0,0,0,5,14,0,0,10077912,-1,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-18T06:25:20Z,4469,0,0,0,0,0,3173669,4720,23472,0,0,0,0,0,0,71,5,0,0,0,0,0,9,5,4,0,4,2,7,100,44,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,171804878650,46,171804876390,1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1382077520103,3145728,0,0,0,57,1,2,1,19,1,0,0,3,2,0,0,57,0,92160,41,2382,1,0,8,6456694,776,0,0,0,0,0,0,5,13,0,0,10056888,-1,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-18T06:25:23Z,4469,0,0,0,0,0,3177909,4920,27712,0,0,0,0,0,0,82,6,0,0,0,0,0,12,6,5,0,4,2,9,109,45,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,171804913531,47,171804911053,1,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1382077523568,3145728,0,0,0,61,1,1,1,19,1,0,0,3,2,0,0,61,0,98304,41,2600,1,0,8,6592886,791,0,0,0,0,0,0,5,13,0,0,10344696,-1,0,0,0,0,0,0,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-18T06:27:07Z,4469,0,0,0,0,0,3171653,4920,21456,0,0,0,0,0,0,58,4,0,0,0,0,0,5,4,3,0,4,2,5,92,45,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,171804913531,47,171804911053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1382077626916,3145728,0,0,0,57,0,0,0,17,0,0,0,3,0,0,0,57,0,79872,39,0,0,0,8,6413686,768,0,0,0,0,0,0,5,13,0,0,9344984,-1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-18T06:28:23Z,4469,0,0,0,0,0,3171653,4920,21456,0,0,0,0,0,0,58,4,0,0,0,0,0,5,4,3,0,4,2,5,92,45,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,171804913531,47,171804911053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1382077702952,3145728,0,0,0,57,0,0,0,17,0,0,0,3,0,0,0,57,0,79872,39,0,0,0,8,6413686,768,0,0,0,0,0,0,5,12,0,0,9345320,-1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-18T06:29:12Z,4469,0,0,0,0,0,3171653,4920,21456,0,0,0,0,0,0,58,4,0,0,0,0,0,5,4,3,0,4,2,5,92,45,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,171804913531,47,171804911053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1382077752059,3145728,0,0,0,57,0,0,0,17,0,0,0,3,0,0,0,57,0,79872,39,0,0,0,8,6413686,768,0,0,0,0,0,0,5,12,0,0,9357088,-1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-18T06:29:39Z,4469,0,0,0,0,0,3174789,4920,24592,0,0,0,0,0,0,71,5,0,0,0,0,0,8,5,4,0,4,2,7,102,45,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,171804932295,48,171804929972,1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1382077779376,3145728,0,0,0,59,1,2,1,19,1,0,0,3,2,0,0,59,0,93184,41,2445,1,0,8,6502774,780,0,0,0,0,0,0,5,13,0,0,10010344,-1,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-18T06:29:44Z,4469,0,0,0,0,0,3170533,4720,20336,0,0,0,0,0,0,55,4,0,0,0,0,0,4,4,3,0,4,2,5,90,44,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,171804932295,48,171804929972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1382077783681,3145728,0,0,0,56,0,0,0,17,0,0,0,3,0,0,0,56,0,79872,39,0,0,0,8,6431094,768,0,0,0,0,0,0,5,12,0,0,9337576,-1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-18T06:30:09Z,4469,0,0,0,0,0,3170533,4720,20336,0,0,0,0,0,0,55,4,0,0,0,0,0,4,4,3,0,4,2,5,90,44,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,171804932295,48,171804929972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1382077809358,3145728,0,0,0,56,0,0,0,17,0,0,0,3,0,0,0,56,0,79872,39,0,0,0,8,6431094,768,0,0,0,0,0,0,5,13,0,0,9344400,-1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
